id,item_type,section_name,item_title,item_author,item_journal_title,item_publication_date,item_doi,item_url,permalink,item_student_note,used_in_tab
REF-001,Website,Shoogleit.com: Engaging Online With Interactive Objects [PDF],Shoogleit.com: Engaging online with interactive objects [PDF],"Padilla, S., & Chantler, M. J.",,2011,,,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502650006731?auth=SAML,"This paper was presented at the Digital Engagement '11 Conference, Newcastle, UK.",03_REFERENCES_MASTER
REF-002,Website,Week 1: Software Downloads,NVivo trial,Lumivero,,n.d.,,https://lumivero.com/resources/free-trial/nvivo/,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502500006731?auth=SAML,"NVivo 12 Pro, a computer-assisted qualitative analysis software (CAQDAS) program, is an industry standard with a wide range of tutorials and resources available in both text and video formats. A 14-day trial is available for both Windows and Mac at QSR International.

Important Note: If you plan to use the 14-day free trial version, do not download it before Unit 6. You will need access to the CAQDAS software you select in Unit 6 to participate in the discussion, and in Unit 7 to perform an analysis of a sample data set and collect screen shots that illustrate the analysis process to submit with your assignment.",03_REFERENCES_MASTER
REF-003,Website,Week 1: Software Downloads,NVivo,Lumivero,,n.d.,,https://lumivero.com/products/nvivo/,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502510006731?auth=SAML,"NVivo 12 Pro, a computer-assisted qualitative analysis software (CAQDAS) program, is an industry standard with a wide range of tutorials and resources available in both text and video formats. A 14-day trial is available for both Windows and Mac at QSR International.

Important Note: If you plan to use the 14-day free trial version, do not download it before Unit 6. You will need access to the CAQDAS software you select in Unit 6 to participate in the discussion, and in Unit 7 to perform an analysis of a sample data set and collect screen shots that illustrate the analysis process to submit with your assignment.",03_REFERENCES_MASTER
REF-004,Article,Week 1: Researcher Perspectives and Qualitative Research Methodology,Orientation among multiple truths: An introduction to qualitative research,"Erlingsson, C., & Brysiewicz, P.",African Journal of Emergency Medicine,2013,,https://doaj.org/article/ea3df883a1b5462795edd5921848a5f9,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502530006731?auth=SAML,,03_REFERENCES_MASTER
REF-005,Article,Week 1: Researcher Perspectives and Qualitative Research Methodology,"Comparison of quantitative and qualitative research traditions: Epistemological, theoretical, and methodological differences","Yilmaz, K.",European Journal of Education,2013,,https://na06.alma.exlibrisgroup.com/view/uresolver/01CAPELLA_INST/openurl?institution=01CAPELLA_INST&vid=01CAPELLA_INST%3AServices&%3Fctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&rft.genre=article&rft.atitle=Comparison+of+Quantitative+and+Qualitative+Research+Traditions%3A+epistemological%2C+theoretical%2C+and+methodological+differences&rft.jtitle=European+journal+of+education&rft.au=Yilmaz%2C+Kaya&rft.date=2013-06-01&rft.pub=Blackwell+Publishing+Ltd&rft.issn=0141-8211&rft.eissn=1465-3435&rft.volume=48&rft.issue=2&rft.spage=311&rft_id=info:doi/10.1111%2Fejed.12014&rft.externalDBID=NO_FULL_TEXT&rft.externalDocID=2968831331&svc_dat=viewit,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502540006731?auth=SAML,,03_REFERENCES_MASTER
REF-006,Video,Week 1: Researcher Perspectives and Qualitative Research Methodology,Frameworks [Video],"Sheedy, J.",,n.d.,,https://strategiced.zoom.us/rec/play/xjGgrLKHrv2YGH-oW4LZDMFWsypfHa7A8drXcLOvFziQ4bYv4XUsnKYQ1e8UUlQkERQjzUIXoSFRGkkz.5HAbxLTAWU_pFb6K?continueMode=true&_x_zm_rtaid=zyYZKlcPRteiM4Amh080hw.1680074272863.3a54d0112a87b35eef49cbb7669c5f64&_x_zm_rhtaid=434,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502550006731?auth=SAML,"Being introduced to data analysis and understanding the ""Framework"" will allow you the opportunity to connect the pieces. Take some time and listen to Dr. Jason Sheedy's webinar.",03_REFERENCES_MASTER
REF-007,Article,Week 1: Researcher Perspectives and Qualitative Research Methodology,Learning to do qualitative data analysis: A starting point,"Lester, J. N., Cho, Y., & Lochmiller, C. R.",Human Resource Development Review,2020,10.1177/1534484320903890,http://localhost:1801/view/uresolver/01CAPELLA_INST/openurl?institution=01CAPELLA_INST&vid=01CAPELLA_INST%3AServices&%3Fctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&rft.genre=article&rft.atitle=Learning+to+Do+Qualitative+Data+Analysis%3A+A+Starting+Point&rft.jtitle=Human+resource+development+review&rft.au=Lester%2C+Jessica+Nina&rft.au=Cho%2C+Yonjoo&rft.au=Lochmiller%2C+Chad+R&rft.date=2020-03-01&rft.pub=SAGE+PUBLICATIONS%2C+INC&rft.issn=1534-4843&rft.eissn=1552-6712&rft.volume=19&rft.issue=1&rft.spage=94&rft.epage=106&rft_id=info:doi/10.1177%2F1534484320903890&rft.externalDBID=HAS_PDF_LINK&svc_dat=viewit,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5688660330006731?auth=SAML,,03_REFERENCES_MASTER
REF-008,Article,Week 1: Researcher Perspectives and Qualitative Research Methodology,Conceptualizing qualitative data,"Broom, A.",Qualitative Health Research,2021,10.1177/10497323211024951,http://localhost:1801/view/uresolver/01CAPELLA_INST/openurl?institution=01CAPELLA_INST&vid=01CAPELLA_INST%3AServices&%3Fctx_ver=Z39.88-2004&ctx_enc=info%3Aofi%2Fenc%3AUTF-8&rfr_id=info%3Asid%2Fsummon.serialssolutions.com&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&rft.genre=article&rft.atitle=Conceptualizing+Qualitative+Data&rft.jtitle=Qualitative+health+research&rft.au=Broom%2C+Alex&rft.date=2021-08-01&rft.pub=SAGE+PUBLICATIONS%2C+INC&rft.issn=1049-7323&rft.eissn=1552-7557&rft.volume=31&rft.issue=10&rft.spage=1767&rft.epage=1770&rft_id=info:doi/10.1177%2F10497323211024951&rft.externalDBID=NO_FULL_TEXT&svc_dat=viewit,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677505170006731?auth=SAML,,03_REFERENCES_MASTER
REF-009,Article,Week 2: Theory and Qualitative Research,How theory is used and articulated in qualitative research: Development of a new typology,"Bradbury-Jones, C., Taylor, J., & Herber, O.",Social Science & Medicine,2014,,http://library.capella.edu/login?url=https://dx.doi.org/10.1016/j.socscimed.2014.09.014,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502570006731?auth=SAML,,03_REFERENCES_MASTER
REF-010,Article,Week 2: Theory and Qualitative Research,The central role of theory in qualitative research,"Collins, C. S., & Stockton, C. M.",International Journal of Qualitative Methods,2018,\,http://library.capella.edu/login?url=https://search.proquest.com/docview/2375720767?pq-origsite=,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502580006731?auth=SAML,,03_REFERENCES_MASTER
REF-011,Article,Week 2: Theory and Qualitative Research,Achieving rigor in literature reviews: Insights from qualitative data analysis and tool-support,"Bandara, W., Furtmueller, E., Gorbacheva, E., Miskon, S., & Beekhuyzen, J.",Communications of the Association for Information Systems,2015,10.17705/1CAIS.03708,http://library.capella.edu/login?url=https://search.proquest.com/docview/2500517537?pq-origsite=,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502590006731?auth=SAML,,03_REFERENCES_MASTER
REF-012,Article,Week 2: An Exploration of Pharmacy Education Researchers' Perceptions and Experiences Conducting Qualitative Research,An exploration of pharmacy education researchers' perceptions and experiences conducting qualitative research,"Bush, A. A., Amechi, M., Persky, A.",American Journal of Pharmaceutical Education,2020,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7159005/,https://capella.alma.exlibrisgroup.com/leganto/public/01CAPELLA_INST/citation/5677502610006731?auth=SAML,,03_REFERENCES_MASTER
